Reviewer Name,Review Date,Review Content
Y***.,1 week ago,Fast delivery and items received in good condition. Thanks seller.
J***.,12 Dec 2024,"Longevity:  not last long. But still okay
 Color:  color is natural and nice
 Ease of Application:  really easy to use"
h***.,21 Apr 2023,nice
Nadine P.,2 weeks ago,"Long-lasting and smudge-proof eyeliner, Long-lasting and smudge-proof eyeliner, Ideal for creating precise lines and wings, Intense pigmentation for a bold look, High-quality and durable eyeliner pen, Suitable for everyday wear and special occasions,"
Patricia A.,2 weeks ago,Longevity:  super duper goods ang quality and longevity\n Color:  super duper goods ang color\n Ease of Application:  siper duper goods
Conchita B.,3 weeks ago,"A must-have for any makeup lover, Easy to apply and glides smoothly, High-quality and durable eyeliner pen,"
guest,3 weeks ago,"Ideal for creating precise lines and wings, Easy to apply and glides smoothly, ggggvggvvvv"
Sheka I.,17 Jan 2025,"A must-have for any makeup lover, A must-have for any makeup lover, Easy to apply and glides smoothly, Long-lasting and smudge-proof eyeliner,"
Jessriell M.,18 Jan 2025,"A must-have for any makeup lover, Waterproof formula for all-day wear, Ideal for creating precise lines and wings, Dual-ended design for versatile eye makeup,"
Sheka I.,09 Jan 2025,"Ideal for creating precise lines and wings, Intense pigmentation for a bold look, Dual-ended design for versatile eye makeup, Long-lasting and smudge-proof eyeliner,"
Nazurah N.,02 Jan 2025,"Enhances the natural beauty of your eyes, Waterproof formula for all-day wear, Long-lasting and smudge-proof eyeliner,"
King G.,02 Jan 2025,"Easy to apply and blend, Ideal for both beginners and professionals, Long-lasting and smudge-proof eyeliner,"
Nazurah N.,02 Jan 2025,"Color:  Perfect for creating various eye looks, 
 Ease of Application:  Ideal for both beginners and professionals,"
D***.,18 Mar 2024,"Easy to apply and blend, Intense and vibrant colors, Smooth and creamy texture, Gives a defined and precise line,"
D***.,18 Mar 2024,"Perfect for creating various eye looks, Dual-ended pen for versatility, Intense and vibrant colors, Gives a defined and precise line,"
D***.,18 Mar 2024,"Pearl light finish for a radiant look, Great for everyday or special occasions, Waterproof formula for all-day wear, Perfect for creating various eye looks,"
C***.,29 Mar 2024,"the feel is matte,my favourite!!!double sides to put make up on eye's,will repurchase next time!❤️"
S***.,11 Mar 2024,"Quality: 👍🏻👍🏻👍🏻👍🏻Quality not bad although price is cheap 
 Texture: 👍🏻👍🏻👍🏻👍🏻smooth
 Effectiveness: 👍🏻👍🏻👍🏻👍🏻👍🏻
Love the glitter 😍❤️and it’s suitable for those beginner"
M***.,03 Oct 2023,"Effectiveness:  pigment 
 Quality:  good

Good product . 
Worth the price . 
Fast delivery . 
Will repurchase again."
S***H,1 week ago,"Longevity:  High-quality and long-lasting formula,"
0***5,10 Dec 2024,"Dual-ended pen for versatility, Gives a defined and precise line, Perfect for creating various eye looks,"
kailin,10 Dec 2024,"Long-lasting and smudge-proof eyeliner, Easy to apply and blend, High-quality and long-lasting formula, Intense and vibrant colors,"
Shwe Z.,07 Feb 2025,Verydddddfddddddddddddddddddddddddddddddddddddddd
I***.,02 Jan 2024,"received in good condition 
fast delivery 
thanks seller for wrap it nicely"
*******069,13 Oct 2023,"Effectiveness: 

Fast delivery, received in good condition ……………………………….."
